"Easting","Northing","Deaths.1977.85","Under.5.1981"
19,54,8,252
17,47,2,45
37,87,5,360
42,82,8,366
36,79,1,54
31,86,2,36
34,71,2,72
25,59,1,27
42,70,6,708
42,68,2,234
42,66,15,522
42,65,6,183
42,64,6,165
43,62,3,225
44,60,2,93
45,59,5,225
45,56,3,144
43,54,1,120
46,52,5,336
48,49,4,369
39,52,3,534
40,55,8,429
38,55,20,858
42,58,13,756
41,52,4,354
38,65,3,72
39,61,2,63
40,73,0,45
32,61,3,75
35,57,1,114
49,47,2,180
50,45,4,282
48,45,2,144
42,51,5,402
42,48,4,168
35,52,10,699
37,51,8,423
38,48,7,408
41,48,3,165
28,36,7,195
27,33,15,273
29,28,9,522
31,29,8,372
34,30,14,369
34,27,12,429
30,33,10,447
32,32,5,222
29,31,6,264
32,26,5,432
31,23,3,201
34,25,4,189
30,44,9,327
30,41,4,198
30,39,4,279
30,36,10,306
29,25,6,306
28,22,8,162
27,19,3,189
25,26,4,315
23,31,7,429
20,36,3,141
24,37,8,522
27,39,6,570
25,51,8,435
27,45,24,981
22,43,15,858
19,41,1,138
43,40,8,204
45,41,5,39
44,39,1,6
46,38,5,90
37,31,15,486
38,30,11,324
36,28,4,165
36,26,1,189
35,33,5,438
36,35,2,153
38,37,13,375
40,39,14,234
42,42,3,219
41,41,11,435
41,39,26,933
42,38,5,99
44,38,4,81
45,32,1,93
47,39,4,234
45,37,5,183
50,34,8,393
48,37,5,303
50,37,4,339
53,36,11,450
52,39,4,258
54,40,1,135
56,39,5,168
58,40,2,153
59,39,6,177
58,36,4,288
58,34,9,516
58,32,16,318
56,35,4,201
46,36,2,66
42,36,12,309
40,36,5,261
41,33,7,516
39,35,12,285
38,32,12,495
44,38,14,255
43,35,12,444
44,32,7,465
43,30,3,261
45,30,3,225
44,28,5,414
41,30,9,471
40,27,9,459
42,26,4,282
47,32,3,150
47,34,11,225
49,32,10,228
52,28,2,21
47,29,10,288
47,27,17,366
49,29,5,204
49,27,9,216
52,32,17,378
55,32,10,309
53,30,18,480
55,26,10,384
58,30,17,348
68,32,9,351
66,32,6,450
57,23,29,543
55,21,12,423
55,15,8,399
57,17,11,345
59,17,11,339
58,15,3,288
64,35,8,306
63,31,24,1359
61,31,4,372
59,28,7,330
61,28,7,360
64,25,4,192
73,21,1,162
77,33,3,183
58,20,15,528
60,20,34,795
60,18,27,891
65,17,26,1209
70,8,8,357
66,4,13,618
47,22,11,528
49,19,31,1248
48,13,7,186
54,18,17,918
51,21,14,387
52,19,38,1290
57,11,4,255
59,8,27,1407
58,5,10,570
63,8,10,306
61,9,6,312
62,5,18,594
82,18,2,177
67,0,5,177
68,-2,28,762
70,1,18,714
73,-1,3,303
