"x","y","val"
0,0,40
30,0,41
60,0,42
90,0,43
120,0,49
150,0,54
180,0,47
210,0,44
240,0,42
270,0,44
300,0,43
330,0,46
360,0,52
390,0,56
420,0,56
450,0,61
0,30,40
30,30,42
60,30,41
90,30,40
120,30,43
150,30,49
180,30,46
210,30,42
240,30,42
270,30,43
300,30,43
330,30,49
360,30,59
390,30,62
420,30,53
450,30,62
0,60,43
30,60,42
60,60,40
90,60,42
120,60,42
150,60,42
180,60,41
210,60,42
240,60,42
270,60,43
300,60,42
330,60,53
360,60,66
390,60,61
420,60,51
450,60,62
0,90,44
30,90,41
60,90,39
90,90,42
120,90,44
150,90,43
180,90,42
210,90,42
240,90,42
270,90,43
300,90,43
330,90,49
360,90,56
390,90,53
420,90,53
450,90,61
0,120,42
30,120,43
60,120,44
90,120,43
120,120,42
150,120,41
180,120,42
210,120,44
240,120,43
270,120,43
300,120,44
330,120,47
360,120,58
390,120,59
420,120,55
450,120,61
0,150,52
30,150,59
60,150,61
90,150,56
120,150,41
150,150,40
180,150,43
210,150,44
240,150,46
270,150,48
300,150,50
330,150,52
360,150,68
390,150,69
420,150,60
450,150,61
0,180,62
30,180,62
60,180,86
90,180,85
120,180,55
150,180,59
180,180,64
210,180,72
240,180,75
270,180,70
300,180,70
330,180,62
360,180,66
390,180,61
420,180,55
450,180,57
0,210,65
30,210,62
60,210,68
90,210,72
120,210,102
150,210,94
180,210,90
210,210,83
240,210,74
270,210,81
300,210,96
330,210,69
360,210,52
390,210,50
420,210,51
450,210,54
0,240,62
30,240,59
60,240,55
90,240,61
120,240,99
150,240,97
180,240,93
210,240,80
240,240,65
270,240,87
300,240,107
330,240,80
360,240,59
390,240,60
420,240,67
450,240,66
0,270,62
30,270,55
60,270,56
90,270,56
120,270,80
150,270,90
180,270,99
210,270,88
240,270,64
270,270,91
300,270,112
330,270,94
360,270,76
390,270,91
420,270,100
450,270,85
0,300,63
30,300,57
60,300,58
90,300,58
120,300,77
150,300,92
180,300,82
210,300,71
240,300,59
270,300,90
300,300,105
330,300,92
360,300,79
390,300,98
420,300,110
450,300,83
0,330,59
30,330,58
60,330,60
90,330,64
120,330,88
150,330,99
180,330,82
210,330,81
240,330,71
270,330,80
300,330,89
330,330,89
360,330,89
390,330,102
420,330,104
450,330,75
0,360,55
30,360,54
60,360,53
90,360,61
120,360,82
150,360,102
180,360,88
210,360,93
240,360,96
270,360,94
300,360,110
330,360,114
360,360,109
390,360,103
420,360,92
450,360,68
0,390,55
30,390,55
60,390,56
90,390,60
120,390,91
150,390,95
180,390,86
210,390,98
240,390,115
270,390,105
300,390,110
330,390,107
360,390,101
390,390,89
420,390,85
450,390,68
0,420,62
30,420,63
60,420,64
90,420,59
120,420,85
150,420,88
180,420,95
210,420,106
240,420,110
270,420,99
300,420,89
330,420,82
360,420,79
390,420,84
420,420,97
450,420,79
0,450,55
30,450,56
60,450,54
90,450,58
120,450,65
150,450,75
180,450,82
210,450,77
240,450,74
270,450,74
300,450,69
330,450,61
360,450,62
390,450,71
420,450,73
450,450,63
